Gene	Gene set name	Category
GRMZM5G841557	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM5G858094	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G104006	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G122258	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G004703	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G005557	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G029107	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G033846	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G036099	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G044963	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G045364	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G067511	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G069454	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G084935	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G088819	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G115628	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G117582	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G146720	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G149923	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G152891	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G157241	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G167982	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G355525	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G395244	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G430600	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G038195	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G062394	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G108355	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G119546	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G133464	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G382077	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G420926	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM6G412501	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G102858	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G122135	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G164352	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G069631	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G142334	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G164185	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G165418	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM5G881044	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G006371	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G040094	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G080083	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G083459	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G098648	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G120178	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
