Gene	Gene set name	Category
Solyc05g053430.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc05g053510.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc05g055890.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc06g005790.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc06g073870.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc06g074600.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc06g083360.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc07g005930.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc07g021210.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc07g021220.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc07g021290.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc07g039230.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc08g014390.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc08g028740.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc08g028750.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc08g028900.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc08g028910.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc08g028920.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc08g028930.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc08g028940.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc08g028950.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc08g075940.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc08g080210.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc08g080220.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc08g081560.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc09g010500.2	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc09g083340.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc10g011720.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc10g017920.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc10g031550.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc10g031560.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc10g049590.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc10g078860.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc10g078880.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc10g080350.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc11g007260.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc11g062110.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc11g069390.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc11g069910.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc11g072730.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc12g010600.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc12g015780.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc12g017750.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc12g035870.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc12g035890.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc12g035930.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc12g035940.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc12g035950.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc12g036010.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
Solyc12g036020.1	KEGG_EPSTEIN-BARR_VIRUS_INFECTION	KEGG
