Gene	Gene set name	Category
LOC_Os10g26570	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os11g07020	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os11g29400	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG
LOC_Os01g57854	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os01g53990	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os01g44340	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os01g36620	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os01g20980	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os01g21034	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os02g02560	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os02g12300	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os02g43194	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os02g43280	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os02g49720	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os03g07300	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os03g31210	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os03g40720	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os03g55070	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
LOC_Os04g05050	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG
